date,LY,REG1_Semaine,REG2_Semaine,REG2_Samedi,REG3_Lundi,REG3_Semaine,REG3_Samedi,REG5_Lundi,REG5_Mardi,REG5_Mercredi,REG5_Jeudi,REG5_Vendredi,REG6_Lundi,REG6_Mardi,REG6_Mercredi,REG6_Jeudi,REG6_Vendredi,REG6_Samedi
1990-01-01,-0.242142857142856,2.21112700423527,5.21907486440331,1.20317914406722,0.40635828813444,4.81271657626888,1.20317914406722,-0.195231283899169,0.60158957203361,0.60158957203361,0.60158957203361,0.60158957203361,0.40635828813444,1.20317914406722,1.20317914406722,1.20317914406722,1.20317914406722,1.20317914406722
1990-04-01,4.55191440096314E-015,-2.71112700423528,-3.21907486440332,-0.203179144067221,-0.406358288134442,-2.81271657626889,-0.203179144067221,-0.304768716100831,-2.10158957203361,-0.10158957203361,-0.101589572033612,-0.10158957203361,-0.406358288134442,-2.20317914406722,-0.203179144067221,-0.203179144067223,-0.203179144067221,-0.203179144067221
1990-07-01,3.5527136788005E-015,-1,-6,-2,-1,-5,-2,0,0,-1,0,0,-1,-1,-2,-1,-1,-2
1990-10-01,3.83026943495679E-015,1.5,4,1,2,2,1,1.5,-0.5,0.5,-0.5,0.5,2,0,1,0,1,1
1991-01-01,-0.242142857142856,-1.28887299576473,-0.780925135596689,0.203179144067219,-0.59364171186556,-0.187283423731124,0.203179144067219,-0.695231283899169,-0.89841042796639,0.10158957203361,0.10158957203361,0.10158957203361,-0.59364171186556,-0.796820855932781,0.203179144067219,0.203179144067219,0.203179144067219,0.203179144067219
1991-04-01,3.99680288865056E-015,-2.71112700423528,-3.21907486440332,-0.203179144067221,-0.406358288134442,-2.81271657626889,-0.203179144067221,-0.304768716100831,-0.10158957203361,-2.10158957203361,-0.101589572033612,-0.10158957203361,-0.406358288134442,-0.203179144067221,-2.20317914406722,-0.203179144067223,-0.203179144067221,-0.203179144067221
1991-07-01,3.5527136788005E-015,2.5,5,1,2,3,1,1.5,0.5,0.5,-0.5,0.5,2,1,1,0,1,1
1991-10-01,3.49720252756924E-015,-2,-2,0,-1,-1,0,-1,1,-1,0,-1,-1,1,-1,0,-1,0
1992-01-01,0.757857142857144,-0.288872995764734,0.219074864403311,0.203179144067219,0.40635828813444,-0.187283423731124,0.203179144067219,0.304768716100831,0.10158957203361,-0.89841042796639,0.10158957203361,0.10158957203361,0.40635828813444,0.203179144067219,-0.796820855932781,0.203179144067219,0.203179144067219,0.203179144067219
1992-04-01,4.44089209850063E-015,-2.71112700423528,-3.21907486440332,-0.203179144067221,-0.406358288134442,-2.81271657626888,-0.203179144067221,-0.304768716100831,-0.10158957203361,-0.10158957203361,-0.101589572033612,-2.10158957203361,-0.406358288134442,-0.203179144067221,-0.203179144067221,-0.203179144067223,-2.20317914406722,-0.203179144067221
1992-07-01,3.66373598126302E-015,2.5,0,-1,0,0,-1,0.5,-0.5,1.5,0.5,0.5,0,-1,1,0,0,-1
1992-10-01,3.66373598126302E-015,1.5,4,1,1,3,1,0.5,0.5,-0.5,1.5,-0.5,1,1,0,2,0,1
